Sample	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5	STEMIT1-1	STEMIT1-2	STEMIT1-3	STEMIT1-4	STEMIT1-5	STEMIT1-6	STEMIT1-7	STEMIT1-8	STEMIT1-9	STEMIT1-10	STEMIT2-1	STEMIT2-2	STEMIT2-3	STEMIT2-4	STEMIT2-5	STEMIT2-6	STEMIT2-7	STEMIT2-8	STEMIT2-9	STEMIT2-10
Label	Ctrl	Ctrl	Ctrl	Ctrl	Ctrl	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2
Kynurenate	0	0	0	0	0	7890.791592	0	0	1118.170953	0	0	0	0	0	1027.90889	3441.014855	0	0	0	0	0	0	0	0	2357.605713
Spermine	0	10768.57081	3263.697515	5261.921164	0	2637.802544	0	18837.74731	18571.32745	22978.35643	0	0	39303.62309	63926.41039	27841.24391	0	0	0	3567.015454	2286.980657	0	0	0	0	0
Carnosine	0	0	0	0	0	3244.110018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inosine	0	0	0	0	0	2926.671307	8792.663906	9677.71768	0	11300.04039	0	0	0	0	7659.389448	1924.808367	0	0	0	900.8092704	0	0	0	0	0
Fenpropimorph	23958.31482	65508.51455	0	0	0	44904.37818	0	26589.64373	0	0	0	0	0	24023.45933	24606.45308	0	0	0	0	0	0	0	48554.46279	56275.13307	0
Dodecenoyl-L-carnitine	0	0	0	0	0	52811.54642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corticosterone	0	0	0	0	0	0	1500.16626	1345.190663	1955.134917	0	0	0	1395.478605	2106.75773	1326.973852	0	0	0	0	0	0	0	0	0	1264.173044
4-Guanidinobutanoic acid	0	0	1881.419348	0	0	0	0	1546.64946	1822.865691	0	3081.204794	3077.29406	0	0	0	0	0	0	0	0	0	0	0	0	0
Taurine	0	4112.387004	1728.735867	3427.583034	0	0	1894.256163	1959.533614	3278.137435	2985.366687	1754.202957	0	4185.685259	7346.924527	5452.937723	0	0	0	0	1650.829398	0	0	0	0	0
2'-Deoxyguanosine 5'-monophosphate	0	0	0	10216.8313	0	0	7000.909152	7097.83004	10480.43493	0	0	0	0	0	11895.31249	0	0	0	0	0	0	0	0	0	0
Picolinic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	817.3472488	0	0	0	0	0
Deuteroporphyrin IX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2993.340136	0	0	0	826.8074753	0	0
3-Indolepropionic acid	0	0	0	0	0	0	0	0	2750.564566	0	0	0	3773.184857	0	0	0	0	0	12397.08264	0	0	2569.827629	2391.900659	0	0
N-Acetylputrescine	0	0	0	0	0	0	0	0	0	0	1907.874482	0	0	0	3478.17091	0	0	0	0	0	0	0	0	0	0
N-Acetylaspartylglutamic acid	0	0	0	0	0	0	0	0	0	0	0	0	1464.050471	977.7416801	0	0	0	0	0	0	0	0	0	0	0
Glycyrrhetinic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2052.592663	0	0	0
Methyl indole-3-acetate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6573.045455	0	0	0	0	0	0	0	0	0
Histamine	0	2248.211087	863.3645605	0	0	0	855.7562067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
